Adjusted Potential (V),Adjusted Relative Capacity (mAh/g),Frequency (Hz),Zre (ohms),Zim (ohms),Type,Cycle
3.0,16.22,1.58,399.3,-184.94,1,1
3.0,16.22,1.26,431.77,-200.73,1,1
3.0,16.22,1.0,463.54,-219.73,1,1
3.0,16.22,0.79,498.19,-237.84,1,1
3.0,16.22,0.63,536.46,-254.48,1,1
3.0,16.22,0.5,576.82,-268.77,1,1
3.0,16.22,0.4,620.42,-281.26,1,1
3.0,16.22,0.32,665.68,-291.8,1,1
3.0,16.22,0.25,711.86,-300.54,1,1
3.0,16.22,0.2,759.7,-307.29,1,1
3.0,16.22,0.16,807.1,-313.01,1,1
3.0,16.22,0.13,855.2,-317.64,1,1
3.0,16.22,0.1,902.51,-321.98,1,1
3.1,21.6,100000.0,196.21,21.54,1,1
3.1,21.6,79432.82,197.19,16.15,1,1
3.1,21.6,63095.74,198.19,11.78,1,1
3.1,21.6,50118.72,198.66,7.61,1,1
3.1,21.6,39810.72,199.53,5.43,1,1
3.1,21.6,31622.78,200.28,3.19,1,1
3.1,21.6,25118.86,201.09,1.37,1,1
3.1,21.6,19952.62,201.68,-0.11,1,1
3.1,21.6,15848.93,202.57,-1.35,1,1
3.1,21.6,12589.25,203.33,-2.31,1,1
3.1,21.6,10000.0,204.09,-3.29,1,1
3.1,21.6,7943.28,204.9,-4.04,1,1
3.1,21.6,6309.57,205.85,-4.67,1,1
3.1,21.6,5011.87,206.62,-5.36,1,1
3.1,21.6,3981.07,207.63,-5.89,1,1
3.1,21.6,3162.28,208.6,-6.48,1,1
3.1,21.6,2511.89,209.57,-7.11,1,1
3.1,21.6,1995.26,210.63,-7.61,1,1
3.1,21.6,1584.89,211.78,-8.17,1,1
3.1,21.6,1258.93,212.94,-8.82,1,1
3.1,21.6,1000.0,214.2,-9.55,1,1
3.1,21.6,794.33,215.48,-10.16,1,1
3.1,21.6,630.96,216.87,-10.97,1,1
3.1,21.6,501.19,218.39,-11.7,1,1
3.1,21.6,398.11,219.99,-12.61,1,1
3.1,21.6,316.23,221.63,-13.64,1,1
3.1,21.6,251.19,223.57,-14.64,1,1
3.1,21.6,199.53,225.49,-15.88,1,1
3.1,21.6,158.49,227.68,-17.13,1,1
3.1,21.6,125.89,229.94,-18.63,1,1
3.1,21.6,100.0,232.73,-20.1,1,1
3.1,21.6,79.43,235.4,-21.83,1,1
3.1,21.6,63.1,238.69,-23.77,1,1
3.1,21.6,50.12,241.92,-25.24,1,1
3.1,21.6,39.81,245.82,-27.28,1,1
3.1,21.6,31.62,250.32,-29.48,1,1
3.1,21.6,25.12,254.41,-30.72,1,1
3.1,21.6,19.95,259.1,-33.04,1,1
3.1,21.6,15.85,264.91,-34.65,1,1
3.1,21.6,12.59,269.59,-36.68,1,1
3.1,21.6,10.0,275.75,-37.85,1,1
3.1,21.6,7.94,281.46,-39.97,1,1
3.1,21.6,6.31,286.62,-40.79,1,1
3.1,21.6,5.01,293.04,-41.94,1,1
3.1,21.6,3.98,299.73,-43.68,1,1
3.1,21.6,3.16,306.0,-45.68,1,1
3.1,21.6,2.51,312.16,-47.94,1,1
3.1,21.6,2.0,318.13,-50.06,1,1
3.1,21.6,1.58,324.6,-52.09,1,1
3.1,21.6,1.26,331.66,-54.21,1,1
3.1,21.6,1.0,339.18,-56.41,1,1
3.1,21.6,0.79,347.24,-58.88,1,1
3.1,21.6,0.63,355.95,-61.43,1,1
3.1,21.6,0.5,365.19,-63.97,1,1
3.1,21.6,0.4,374.91,-66.52,1,1
3.1,21.6,0.32,384.58,-69.06,1,1
3.1,21.6,0.25,394.84,-71.23,1,1
3.1,21.6,0.2,405.16,-73.42,1,1
3.1,21.6,0.16,415.22,-75.19,1,1
3.1,21.6,0.13,424.29,-78.57,1,1
3.1,21.6,0.1,434.84,-78.22,1,1
3.2,85.56,100000.0,193.73,21.7,1,1
3.2,85.56,79432.82,194.86,16.5,1,1
3.2,85.56,63095.74,195.69,12.04,1,1
3.2,85.56,50118.72,196.81,8.81,1,1
3.2,85.56,39810.72,197.27,6.06,1,1
3.2,85.56,31622.78,197.89,3.75,1,1
3.2,85.56,25118.86,198.57,1.81,1,1
3.2,85.56,19952.62,199.28,0.47,1,1
3.2,85.56,15848.93,200.05,-0.57,1,1
3.2,85.56,12589.25,200.72,-1.5,1,1
3.2,85.56,10000.0,201.45,-2.36,1,1
3.2,85.56,7943.28,202.19,-3.02,1,1
3.2,85.56,6309.57,202.91,-3.57,1,1
3.2,85.56,5011.87,203.67,-4.01,1,1
3.2,85.56,3981.07,204.43,-4.38,1,1
3.2,85.56,3162.28,205.26,-4.68,1,1
3.2,85.56,2511.89,206.02,-4.95,1,1
3.2,85.56,1995.26,206.81,-5.27,1,1
3.2,85.56,1584.89,207.67,-5.43,1,1
3.2,85.56,1258.93,208.56,-5.55,1,1
3.2,85.56,1000.0,209.41,-5.82,1,1
3.2,85.56,794.33,210.38,-6.01,1,1
3.2,85.56,630.96,211.35,-6.06,1,1
3.2,85.56,501.19,212.22,-6.23,1,1
3.2,85.56,398.11,213.16,-6.42,1,1
3.2,85.56,316.23,214.11,-6.5,1,1
3.2,85.56,251.19,214.99,-6.67,1,1
3.2,85.56,199.53,216.14,-6.89,1,1
3.2,85.56,158.49,216.94,-7.02,1,1
3.2,85.56,125.89,217.99,-7.1,1,1
3.2,85.56,100.0,219.02,-7.3,1,1
3.2,85.56,79.43,219.92,-7.59,1,1
3.2,85.56,63.1,221.12,-7.8,1,1
3.2,85.56,50.12,221.99,-8.18,1,1
3.2,85.56,39.81,223.0,-8.6,1,1
3.2,85.56,31.62,224.08,-9.08,1,1
3.2,85.56,25.12,225.39,-9.6,1,1
3.2,85.56,19.95,226.5,-10.22,1,1
3.2,85.56,15.85,227.83,-11.18,1,1
3.2,85.56,12.59,229.26,-11.81,1,1
3.2,85.56,10.0,230.95,-13.08,1,1
3.2,85.56,7.94,232.43,-13.88,1,1
3.2,85.56,6.31,234.69,-15.11,1,1
3.2,85.56,5.01,236.92,-16.74,1,1
3.2,85.56,3.98,238.91,-18.21,1,1
3.2,85.56,3.16,241.3,-19.48,1,1
3.2,85.56,2.51,244.18,-20.8,1,1
3.2,85.56,2.0,247.64,-22.14,1,1
3.2,85.56,1.58,251.3,-23.49,1,1
3.2,85.56,1.26,255.24,-25.02,1,1
3.2,85.56,1.0,259.37,-26.43,1,1
3.2,85.56,0.79,263.49,-27.68,1,1
3.2,85.56,0.63,267.76,-28.59,1,1
3.2,85.56,0.5,272.02,-29.27,1,1
3.2,85.56,0.4,276.39,-29.67,1,1
3.2,85.56,0.32,280.51,-29.94,1,1
3.2,85.56,0.25,284.58,-29.87,1,1
3.2,85.56,0.2,288.66,-29.64,1,1
3.2,85.56,0.16,292.45,-29.37,1,1
3.2,85.56,0.13,296.26,-29.06,1,1
3.2,85.56,0.1,299.7,-29.08,1,1
3.3,127.91,100000.0,192.07,22.08,1,1
3.3,127.91,79432.82,193.12,16.57,1,1
3.3,127.91,63095.74,193.72,12.22,1,1
3.3,127.91,50118.72,194.18,8.29,1,1
3.3,127.91,39810.72,195.31,6.22,1,1
3.3,127.91,31622.78,195.91,4.05,1,1
3.3,127.91,25118.86,196.46,2.37,1,1
3.3,127.91,19952.62,197.2,0.98,1,1
3.3,127.91,15848.93,197.79,-0.2,1,1
3.3,127.91,12589.25,198.41,-0.98,1,1
3.3,127.91,10000.0,199.08,-1.68,1,1
3.3,127.91,7943.28,199.7,-2.26,1,1
3.3,127.91,6309.57,200.33,-2.7,1,1
3.3,127.91,5011.87,200.93,-3.12,1,1
3.3,127.91,3981.07,201.65,-3.41,1,1
3.3,127.91,3162.28,202.24,-3.65,1,1
3.3,127.91,2511.89,202.98,-3.68,1,1
3.3,127.91,1995.26,203.63,-4.0,1,1
3.3,127.91,1584.89,204.22,-4.17,1,1
3.3,127.91,1258.93,204.91,-4.23,1,1
3.3,127.91,1000.0,205.61,-4.37,1,1
3.3,127.91,794.33,206.27,-4.38,1,1
3.3,127.91,630.96,206.92,-4.58,1,1
3.3,127.91,501.19,207.52,-4.61,1,1
3.3,127.91,398.11,208.15,-4.79,1,1
3.3,127.91,316.23,208.91,-4.9,1,1
3.3,127.91,251.19,209.48,-4.93,1,1
3.3,127.91,199.53,210.11,-5.13,1,1
3.3,127.91,158.49,210.81,-5.41,1,1
3.3,127.91,125.89,211.58,-5.49,1,1
3.3,127.91,100.0,212.34,-5.92,1,1
3.3,127.91,79.43,212.97,-6.25,1,1
3.3,127.91,63.1,213.98,-6.58,1,1
3.3,127.91,50.12,214.78,-7.09,1,1
3.3,127.91,39.81,215.66,-7.69,1,1
3.3,127.91,31.62,216.61,-8.2,1,1
3.3,127.91,25.12,217.8,-8.87,1,1
3.3,127.91,19.95,218.87,-9.58,1,1
3.3,127.91,15.85,220.11,-10.64,1,1
3.3,127.91,12.59,221.41,-11.46,1,1
3.3,127.91,10.0,223.14,-12.69,1,1
3.3,127.91,7.94,224.51,-13.68,1,1
3.3,127.91,6.31,226.69,-14.9,1,1
3.3,127.91,5.01,228.98,-16.68,1,1
3.3,127.91,3.98,231.12,-18.4,1,1
3.3,127.91,3.16,233.4,-19.86,1,1
3.3,127.91,2.51,236.36,-21.05,1,1
3.3,127.91,2.0,239.91,-22.71,1,1
3.3,127.91,1.58,243.66,-24.59,1,1
